professor,department,Quality,Difficulty,Comment,comment_length,cleaned_comment,aspects,aspect_count,aspect_sentiments
Jay Martin ,Government department,4.5,2.0,"Best professor I've had at CMC to date. Highly knowledgeable, helpful, a good communicator, and a very kind person. You won't get nearly as much out of the course though w/o doing most of the readings. Lectures are chill, even funny at times. Office hours are great. Take him & you'll learn alot minus the stress & garbage assignments.",59,good professor I ve have at cmc to date highly knowledgeable helpful a good communicator and a very kind person you will not get nearly as much out of the course though will do most of the reading lecture be chill even funny at time office hour be great take he you ll learn alot minus the stress garbage assignment,"['explanation_clarity', 'doubt_solving', 'study_material', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",6,"{'explanation_clarity': ('positive', 0.9499), 'doubt_solving': ('positive', 0.9499), 'study_material': ('positive', 0.9499), 'practical_sessions': ('positive', 0.9499), 'faculty_availability': ('positive', 0.9499), 'subject_difficulty': ('positive', 0.9499)}"
Jay Martin ,Government department,3.0,3.0,His class is fairly easy (1 page paper a week) until the end.  Then he smacks you with a 20 page final!,22,his class be fairly easy page paper a week until the end then he smack you with a page final,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.4404)}"
Jay Martin ,Government department,5.0,2.0,"He's a bowl of knowledge and an interesting guy, very helpful in office hours and only one midterm and then the final, if you do the readings you'll be fine, if you don't it's not going to be fun...class gets relatively long, but he's an interesting prof!",47,he s a bowl of knowledge and an interesting guy very helpful in office hour and only one midterm and then the final if you do the reading you ll be fine if you do not its not go to be funclass get relatively long but he s an interesting prof,"['doubt_solving', 'study_material', 'faculty_availability']",3,"{'doubt_solving': ('positive', 0.7645), 'study_material': ('positive', 0.7645), 'faculty_availability': ('positive', 0.7645)}"
Jay Martin ,Government department,5.0,1.0,guy is sooo smart and knows so many random facts!,10,guy be sooo smart and know so many random fact,[],0,{}
Jay Martin ,Government department,4.0,1.0,Be prepared to sleep in class and still come out with an A. The man has lead an amazing life and you'll certainly hear all about it.,27,be prepared to sleep in class and still come out with an a the man have lead an amazing life and you ll certainly hear all about it,[],0,{}
Thomas Dershem ,Physics department,5.0,3.0,"I took astro for my science GE, but ended up really enjoying it! Tom is a great teacher with a fabulous sense of humor. There's no HW besides studying for the 4 exams (all MC, challenging but fair) and the material is fascinating. There are only 5 labs, which are relatively quick/easy, but you CANNOT miss any. Would definitely recommend the class!",62,I take astro for my science ge but end up really enjoy it tom be a great teacher with a fabulous sense of humor there s no hw besides study for the exam all mc challenge but fair and the material be fascinating there be only lab which be relatively quickeasy but you can not miss any would definitely recommend the class,"['teaching_pace', 'study_material', 'practical_sessions', 'subject_difficulty']",4,"{'practical_sessions': ('positive', 0.9041), 'teaching_pace': ('positive', 0.7003), 'study_material': ('positive', 0.7003), 'subject_difficulty': ('positive', 0.7003)}"
Thomas Dershem ,Physics department,2.0,4.0,"Although I do think he was very nice and approachable, his lecture style was very convoluted and hard to follow. The test questions were also sometimes hard to follow/confusing. Overall, wouldn't recommend it if you're planning on taking it for your science requirement - was not an easy class at all",51,although I do think he be very nice and approachable his lecture style be very convoluted and hard to follow the test question be also sometimes hard to followconfuse overall would not recommend it if you re plan on take it for your science requirement be not an easy class at all,"['explanation_clarity', 'doubt_solving', 'practical_sessions', 'subject_difficulty']",4,"{'explanation_clarity': ('negative', -0.3584), 'doubt_solving': ('negative', -0.3584), 'practical_sessions': ('negative', -0.3584), 'subject_difficulty': ('negative', -0.3584)}"
Thomas Dershem ,Physics department,5.0,2.0,Professor Dershem is a great physics lab professor! He goes in great detail of physics concepts and helps you for the physics lab practical! Highly recommend- very chill person,29,professor dershem be a great physics lab professor he go in great detail of physics concept and help you for the physics lab practical highly recommend very chill person,"['doubt_solving', 'practical_sessions']",2,"{'doubt_solving': ('positive', 0.9286), 'practical_sessions': ('positive', 0.9286)}"
Thomas Dershem ,Physics department,3.5,1.0,Great Professor. Great and interesting Guy. Learned a lot surprisingly despite my lack of interest. Has some strange tests question choices but is mostly straight foward in what he wants on tests.,32,great professor great and interesting guy learn a lot surprisingly despite my lack of interest have some strange test question choice but be mostly straight foward in what he want on test,"['doubt_solving', 'practical_sessions']",2,"{'doubt_solving': ('positive', 0.9456), 'practical_sessions': ('positive', 0.9456)}"
Thomas Dershem ,Physics department,2.0,1.0,"His lecture is interesting and isn't difficult to understand. 4 exams were all made of multiple questions, and labs are very simple.",22,his lecture be interesting and be not difficult to understand exam be all make of multiple question and lab be very simple,"['explanation_clarity', 'doubt_solving', 'practical_sessions', 'subject_difficulty']",4,"{'explanation_clarity': ('positive', 0.5873), 'doubt_solving': ('positive', 0.5873), 'practical_sessions': ('positive', 0.5873), 'subject_difficulty': ('positive', 0.5873)}"
Thomas Dershem ,Physics department,4.0,2.0,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",64,his lecture and his test be accurate I have no idea what the last reviewer be talk about if you be an intelligent person the test be not that difficult at all I get an a without try to hard in spite of the fact that his lecture be all powerpoint presentation this be probably one of the most interesting class I ve ever take,"['explanation_clarity', 'study_material', 'practical_sessions', 'subject_difficulty']",4,"{'explanation_clarity': ('positive', 0.4213), 'study_material': ('positive', 0.4213), 'practical_sessions': ('positive', 0.4213), 'subject_difficulty': ('positive', 0.4213)}"
Thomas Dershem ,Physics department,1.0,5.0,"an absolute nightmare.  I took this class for fun and ended up correcting him on every detail nearly half the time.  His tests were inacurate and he expects you to do most the learning on your own.  His teaching style is designed for (dare I say?) a large state school, which is what Claremont is SO not about.",58,an absolute nightmare I take this class for fun and end up correct he on every detail nearly half the time his test be inacurate and he expect you to do most the learning on your own his teaching style be design for dare I say a large state school which be what claremont be so not about,['practical_sessions'],1,"{'practical_sessions': ('positive', 0.5106)}"
Thomas Dershem ,Physics department,4.5,4.0,Prof Dershem seriously wants you to learn-- my group was the last to leave lab every time and he still kept his patience.  Very tough to get a good grade but if you ask for help he will give it to you!  A really nice guy!,46,prof dershem seriously want you to learn my group be the last to leave lab every time and he still keep his patience very tough to get a good grade but if you ask for help he will give it to you a really nice guy,"['doubt_solving', 'practical_sessions', 'subject_difficulty']",3,"{'practical_sessions': ('positive', 0.1298), 'subject_difficulty': ('positive', 0.1298), 'doubt_solving': ('positive', 0.6997)}"
Thomas Dershem ,Physics department,1.0,3.0,"umm yeah...my mother says if you have nothing nice to say, dont say anything at all, lets just leave it @ that",22,umm yeahmy mother say if you have nothing nice to say do not say anything at all let just leave it that,[],0,{}
Thomas Dershem ,Physics department,1.0,3.0,No Comments,2,no comment,[],0,{}
Stephen Davis ,Philosophy department,5.0,2.0,Great professor. Pretty interesting and not very difficult. Don't need to do any of the reading.,16,great professor pretty interesting and not very difficult do not need to do any of the reading,"['study_material', 'subject_difficulty']",2,"{'study_material': ('positive', 0.9067), 'subject_difficulty': ('positive', 0.9067)}"
Stephen Davis ,Philosophy department,4.5,3.0,"Really fascinating class and professor.  He's super smart.  Very much a lecture, but he does ask for your ideas and opinions and really likes it when you speak up.  He's very thorough and works hard to present all sides without bias.  The tests and essays are hard- I recommend talking to him in his office hours beforehand.",57,really fascinating class and professor he s super smart very much a lecture but he do ask for your idea and opinion and really like it when you speak up he s very thorough and work hard to present all side without bias the test and essay be hard I recommend talk to he in his office hour beforehand,"['explanation_clarity', 'doubt_solving', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",5,"{'explanation_clarity': ('positive', 0.8858), 'doubt_solving': ('positive', 0.5844), 'practical_sessions': ('positive', 0.5844), 'faculty_availability': ('positive', 0.5844), 'subject_difficulty': ('positive', 0.5844)}"
Stephen Davis ,Philosophy department,4.5,2.0,"Davis is an excellent lecturer and a knowledgeable scholar of Philosophy.  He excels at presenting a relatively unbiased  , even-handed look at various historical philosophers.  The class is lecture based, but he does ask for student input. The course work is not particularly challenging, especially if you're interested in the subject matter.",52,davis be an excellent lecturer and a knowledgeable scholar of philosophy he excel at present a relatively unbiased evenhanded look at various historical philosopher the class be lecture base but he do ask for student input the course work be not particularly challenging especially if you re interested in the subject matter,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('positive', 0.765), 'subject_difficulty': ('positive', 0.2822)}"
Stephen Davis ,Philosophy department,5.0,4.0,Stephen Davis is a dedicated scholar and caring teacher. He addresses his students with respect but demands their best thinking. The only bad thing I can say is that he is retiring soon. I wish I could learn more from him.,41,stephen davis be a dedicated scholar and caring teacher he address his student with respect but demand their good thinking the only bad thing I can say be that he be retire soon I wish I could learn more from he,[],0,{}
Stephen Davis ,Philosophy department,4.5,4.0,"Enjoyed his class. Learned a lot. However, I thought the way he graded the exams was quite unfair & unclear to students. Not a ton of work--2 5pg papers and 2 (tough) exams.",33,enjoy his class learn a lot however I think the way he grade the exam be quite unfair unclear to student not a ton of work pg paper and tough exam,"['explanation_clarity', 'practical_sessions', 'subject_difficulty']",3,"{'explanation_clarity': ('negative', -0.7328), 'practical_sessions': ('negative', -0.7328), 'subject_difficulty': ('negative', -0.7328)}"
Stephen Davis ,Philosophy department,5.0,3.0,lectures are so clear & comprehensive that you don't need to read; just GO TO CLASS & take good notes. not an easy grader. knows a TON. open to student opinions but not much discussion - more focus on history of phil than student discussion. good class.,47,lecture be so clear comprehensive that you do not need to read just go to class take good note not an easy grader know a ton open to student opinion but not much discussion more focus on history of phil than student discussion good class,"['explanation_clarity', 'study_material', 'subject_difficulty']",3,"{'explanation_clarity': ('positive', 0.7301), 'study_material': ('positive', 0.7301), 'subject_difficulty': ('positive', 0.7301)}"
Stephen Davis ,Philosophy department,5.0,3.0,"Davis is a GREAT lecturer and is always open to comments/questions, which he answers with clarity and respect. You hardly have to do the reading, because he just explains everything so well in class. He likes people who participate in the (minimal) discussions. I'd recommend him to anyone who likes a strong lecture class in an interesting subject!",58,davis be a great lecturer and be always open to commentsquestion which he answer with clarity and respect you hardly have to do the reading because he just explain everything so well in class he like people who participate in the minimal discussion I d recommend he to anyone who like a strong lecture class in an interesting subject,"['explanation_clarity', 'doubt_solving', 'study_material', 'subject_difficulty']",4,"{'explanation_clarity': ('positive', 0.9754), 'doubt_solving': ('positive', 0.9754), 'study_material': ('positive', 0.9754), 'subject_difficulty': ('positive', 0.9754)}"
Stephen Davis ,Philosophy department,4.5,2.0,"Great professor.  Knows his stuff.  He cleans up most of the reading in his lectures and makes it understandable.  He keeps the class pretty basic and not extremely demanding, though there's a decent amount of reading.  Good for a GE, and a great religion/philosophy professor.",45,great professor know his stuff he clean up most of the reading in his lecture and make it understandable he keep the class pretty basic and not extremely demanding though there s a decent amount of read good for a ge and a great religionphilosophy professor,"['explanation_clarity', 'study_material']",2,"{'explanation_clarity': ('positive', 0.9577), 'study_material': ('positive', 0.9577)}"
Stephen Davis ,Philosophy department,3.0,5.0,"do NOT take this course to satisfy a GE or for an intro philosophy course. concepts are extremely hard to grasp and the reading is dense and circular. prof davis does a decent job explaining some of the material, but not all of it. he's a nice guy, though, and will help if you ask. if you're really into philosophy, this might be a class for you.",67,do not take this course to satisfy a ge or for an intro philosophy course concept be extremely hard to grasp and the reading be dense and circular prof davis do a decent job explain some of the material but not all of it he s a nice guy though and will help if you ask if you re really into philosophy this might be a class for you,"['explanation_clarity', 'doubt_solving', 'study_material', 'subject_difficulty']",4,"{'explanation_clarity': ('positive', 0.3197), 'study_material': ('positive', 0.3197), 'subject_difficulty': ('positive', 0.3197), 'doubt_solving': ('positive', 0.6705)}"
Stephen Davis ,Philosophy department,5.0,3.0,"Davis is an amazing prof.  He's entertaining, engaging, and really seems to care about the students.  He's just generally a great guy",22,davis be an amazing prof he s entertain engage and really seem to care about the student he s just generally a great guy,[],0,{}
Stephen Davis ,Philosophy department,4.0,4.0,"I loved him.  He is brilliant and known person in his feild.  He talks kinda dry, but if you are interested in the subject, the classes are very interesting.  He cares a lot about his students, and hears everyones different views.  He is a hard grader, with only four assignments all worth 25% of your grade.  If you want to learn, take his class.",64,I love he he be brilliant and know person in his feild he talk kinda dry but if you be interested in the subject the class be very interesting he care a lot about his student and hear everyone different view he be a hard grader with only four assignment all worth of your grade if you want to learn take his class,"['study_material', 'practical_sessions', 'subject_difficulty']",3,"{'study_material': ('positive', 0.8737), 'practical_sessions': ('positive', 0.8737), 'subject_difficulty': ('positive', 0.8737)}"
Stephen Davis ,Philosophy department,5.0,4.0,"One of the greatest philosophy/religion profs at the 5-C's - this is the man that got me interested in majoring in philosophy. Not that easy, but an EXCELLENT teacher.",29,one of the great philosophyreligion prof at the cs this be the man that get I interested in major in philosophy not that easy but an excellent teacher,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.6591)}"
Stephen Davis ,Philosophy department,1.5,5.0,Uses subjective nature of material to assign arbitrary and nonsensical marks.,11,use subjective nature of material to assign arbitrary and nonsensical mark,['study_material'],1,"{'study_material': ('neutral', 0.0)}"
Stephen Davis ,Philosophy department,5.0,1.0,"Great prof but really only teaches one class.  All of his classes are the same.  If you love to argue though, this guy is quick and this is the teacher for you...",32,great prof but really only teach one class all of his class be the same if you love to argue though this guy be quick and this be the teacher for you,['teaching_pace'],1,"{'teaching_pace': ('positive', 0.4215)}"
Stephen Davis ,Philosophy department,4.0,5.0,"Very difficult. Expects you to be up to his level of religious philosophy. Lectures are very interesting and the topic teaches you a lot, however. Would recommend taking for upperclassmen.",30,very difficult expect you to be up to his level of religious philosophy lecture be very interesting and the topic teach you a lot however would recommend take for upperclassman,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('positive', 0.0516), 'subject_difficulty': ('positive', 0.0516)}"
Stephen Davis ,Philosophy department,3.5,3.0,"I often felt as though he was trying to be openminded, but was just failing at it.  It becomes clear eventually that he's a pretty conservative Christian and that just biases him too much.  He is pretty nice, though.",39,I often feel as though he be try to be openminde but be just fail at it it become clear eventually that he s a pretty conservative christian and that just bias he too much he be pretty nice though,['explanation_clarity'],1,"{'explanation_clarity': ('positive', 0.7845)}"
Stephen Davis ,Philosophy department,4.0,4.0,"He's very accessible, caring, and, at times, rather amusing.",9,he s very accessible caring and at time rather amusing,['faculty_availability'],1,"{'faculty_availability': ('positive', 0.7251)}"
Stephen Davis ,Philosophy department,2.0,4.0,"The guy's a decent teacher, but is kind of an ass.",11,the guy a decent teacher but be kind of an ass,[],0,{}
Stephen Davis ,Philosophy department,4.5,2.0,"good lecture and discussions, clear, reasonable standards.",7,good lecture and discussion clear reasonable standard,['explanation_clarity'],1,"{'explanation_clarity': ('positive', 0.6705)}"
Stephen Davis ,Philosophy department,4.5,3.0,No Comments,2,no comment,[],0,{}
Shana Levin ,Psychology department,5.0,4.0,Best professor Ive ever had at CMC. Anyone who disagrees just couldnt handle the heat she brings. Would be a waste of your education to not take Levinespecially if a Psych major and/or interested in statistics.,36,good professor I ve ever have at cmc anyone who disagree just could not handle the heat she bring would be a waste of your education to not take levinespecially if a psych major andor interest in statistic,[],0,{}
Shana Levin ,Psychology department,4.5,3.0,"Very clear at the subject matter, net tired of explaining things over and over again. The tests and homework can be challenging but  they are necessary to get a solid understanding in psych stats.",34,very clear at the subject matter net tired of explain thing over and over again the test and homework can be challenging but they be necessary to get a solid understanding in psych stat,"['explanation_clarity', 'practical_sessions', 'subject_difficulty']",3,"{'explanation_clarity': ('positive', 0.1761), 'practical_sessions': ('positive', 0.1761), 'subject_difficulty': ('positive', 0.1761)}"
Shana Levin ,Psychology department,5.0,3.0,She is amazingly clear in the lectures and capable of explaining concepts in different ways when necessary. Gives the most considerate and detailed study guide materials. Very dedicated to teaching. I'm not too into Stats but she was able to make it great a learning experience. Can't think of a better professor to take Psych Stats with! ,57,she be amazingly clear in the lecture and capable of explain concept in different way when necessary give the most considerate and detailed study guide material very dedicated to teach I m not too into stat but she be able to make it great a learn experience can not think of a well professor to take psych stat with,"['explanation_clarity', 'study_material']",2,"{'explanation_clarity': ('positive', 0.8996), 'study_material': ('positive', 0.8996)}"
Shana Levin ,Psychology department,5.0,4.0,Very helpful and really sweet. Always willing to give extra help. Expert in her field and is ridiculously smart. Not easy but very enjoyable.,24,very helpful and really sweet always willing to give extra help expert in her field and be ridiculously smart not easy but very enjoyable,"['doubt_solving', 'subject_difficulty']",2,"{'doubt_solving': ('positive', 0.7894), 'subject_difficulty': ('positive', 0.7894)}"
Shana Levin ,Psychology department,5.0,2.0,"LOVE Professor Levin. Stats is never fun, but her lecture style was very clear and she was very accessible both during and outside of class hours. She expects a lot, but you also learn a lot.",36,love professor levin stat be never fun but her lecture style be very clear and she be very accessible both during and outside of class hour she expect a lot but you also learn a lot,"['explanation_clarity', 'faculty_availability']",2,"{'explanation_clarity': ('positive', 0.4391), 'faculty_availability': ('positive', 0.4391)}"
Shana Levin ,Psychology department,5.0,4.0,"Extremely clear powerpoint lectures. Makes chapters/ understanding material much easier. Book that is used is terrible, extremely confusing, but her lectures make up for it.  Tests are super hard, but it's mostly due to the content being difficult.  She is very approachable so help office hours are always there. Need to be self-motivated to do well",56,extremely clear powerpoint lecture make chapter understand material much easy book that be use be terrible extremely confusing but her lecture make up for it test be super hard but its mostly due to the content be difficult she be very approachable so help office hour be always there need to be selfmotivate to do well,"['explanation_clarity', 'doubt_solving', 'study_material', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",6,"{'explanation_clarity': ('positive', 0.5423), 'study_material': ('positive', 0.128), 'subject_difficulty': ('positive', 0.5423), 'practical_sessions': ('positive', 0.5423), 'doubt_solving': ('positive', 0.53), 'faculty_availability': ('positive', 0.53)}"
Shana Levin ,Psychology department,5.0,4.0,"very clear and comprehensive lectures.. extremely approachable and friendly, really wants you to do well, she makes everything easier to understand.. the rest is up to you",27,very clear and comprehensive lecture extremely approachable and friendly really want you to do well she make everything easy to understand the rest be up to you,"['explanation_clarity', 'doubt_solving', 'subject_difficulty']",3,"{'explanation_clarity': ('positive', 0.9219), 'doubt_solving': ('positive', 0.9219), 'subject_difficulty': ('positive', 0.9219)}"
Shana Levin ,Psychology department,4.5,3.0,No Comments,2,no comment,[],0,{}
Shana Levin ,Psychology department,2.5,4.0,"Too stringent with following the rules, nearly to the point of being anti-compassionate.  Reasonably clear with expectations, but not very approachable.",21,too stringent with follow the rule nearly to the point of be anticompassionate reasonably clear with expectation but not very approachable,"['explanation_clarity', 'doubt_solving']",2,"{'explanation_clarity': ('positive', 0.3818), 'doubt_solving': ('neutral', 0.0)}"
Shana Levin ,Psychology department,3.5,5.0,Psych is such BS!,4,psych be such bs,[],0,{}
Shana Levin ,Psychology department,3.0,5.0,"This class is less focused on politics than one would think.  It's interesting, but the tests are really hard and she isn't an easy grader on papers either.",28,this class be less focused on politic than one would think its interesting but the test be really hard and she be not an easy grader on paper either,"['practical_sessions', 'subject_difficulty']",2,"{'practical_sessions': ('negative', -0.4765), 'subject_difficulty': ('negative', -0.4765)}"
Mario Martelli ,Mathematics department,4.0,4.0,The best professor in my academic years student center activity was on of his delivery style,16,the good professor in my academic year student center activity be on of his delivery style,[],0,{}
Mario Martelli ,Mathematics department,4.0,4.0,The best professor in my academic years,7,the good professor in my academic year,[],0,{}
Mario Martelli ,Mathematics department,1.0,4.0,"as a person hes probably the funniest professor youll have at cmc and now that im out of the class i love the guy but hes too smart to be teaching entry level classes and is hard to understand a lot, also goes off topic a lot",47,as a person he s probably the funniest professor you ll have at cmc and now that I m out of the class I love the guy but he s too smart to be teach entry level class and be hard to understand a lot also go off topic a lot,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.3182)}"
Mario Martelli ,Mathematics department,1.0,4.0,"as a person hes probably the funniest professor youll have at cmc and now that im out of the class i love the guy but hes too smart to be teaching entry level classes and is hard to understand a lot, also goes off topic a lot",47,as a person he s probably the funniest professor you ll have at cmc and now that I m out of the class I love the guy but he s too smart to be teach entry level class and be hard to understand a lot also go off topic a lot,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.3182)}"
Mario Martelli ,Mathematics department,4.5,4.0,Enjoyable class,2,enjoyable class,[],0,{}
Mario Martelli ,Mathematics department,1.5,5.0,"Ok. He is a sweet, crazy, little italian man. He does care about his students, and will try to help you. The problem is that he makes absolutely no sense when he talks. His lectures are impossible to follow, and he often starts talking to himself in Italian. He is entertaining sure, but the novelty wears off quickly. Avoid if at all possible.",63,ok he be a sweet crazy little italian man he do care about his student and will try to help you the problem be that he make absolutely no sense when he talk his lecture be impossible to follow and he often start talk to himself in italian he be entertain sure but the novelty wear off quickly avoid if at all possible,"['explanation_clarity', 'teaching_pace', 'doubt_solving']",3,"{'explanation_clarity': ('positive', 0.7968), 'doubt_solving': ('positive', 0.7968), 'teaching_pace': ('negative', -0.296)}"
Mario Martelli ,Mathematics department,4.5,4.0,Lively classes.  Math jokes a plus.,6,lively class math joke a plus,[],0,{}
Mario Martelli ,Mathematics department,5.0,4.0,Very interesting class.  Did not use textbook all the time.  Book was hard to understand and he did a great job explaining.  Suggestion:  Go to his office hours.,28,very interesting class do not use textbook all the time book be hard to understand and he do a great job explain suggestion go to his office hour,"['explanation_clarity', 'doubt_solving', 'study_material', 'faculty_availability', 'subject_difficulty']",5,"{'explanation_clarity': ('positive', 0.7713), 'doubt_solving': ('positive', 0.7713), 'study_material': ('positive', 0.7713), 'faculty_availability': ('positive', 0.7713), 'subject_difficulty': ('positive', 0.7713)}"
Mario Martelli ,Mathematics department,5.0,3.0,"Very focused and interesting.  Book was boring and incomprehensible, but he did not use it all the time.
 Cute teacher.  Helpful.",21,very focused and interesting book be boring and incomprehensible but he do not use it all the time cute teacher helpful,['doubt_solving'],1,"{'doubt_solving': ('positive', 0.7003)}"
Mario Martelli ,Mathematics department,2.5,3.0,"Very sweet man. Too bad there seems to be no good teachers of differential equations around here. The book was wordy and annoying, and he didn't seem to be teaching from the book anyway which made the homework hard. Went off on lots of tangents, making class a general waste of time, and the lectures were either boring or useless.",60,very sweet man too bad there seem to be no good teacher of differential equation around here the book be wordy and annoying and he do not seem to be teach from the book anyway which make the homework hard go off on lot of tangent make class a general waste of time and the lecture be either boring or useless,"['explanation_clarity', 'practical_sessions', 'subject_difficulty']",3,"{'explanation_clarity': ('negative', -0.912), 'practical_sessions': ('negative', -0.912), 'subject_difficulty': ('negative', -0.912)}"
Mario Martelli ,Mathematics department,3.5,5.0,"the cutest little old, itallian man ever BUT terrible prof. i had the hardest time following him during lectures!",19,the cute little old itallian man ever but terrible prof I have the hard time follow he during lecture,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('negative', -0.5423), 'subject_difficulty': ('negative', -0.5423)}"
Mario Martelli ,Mathematics department,5.0,4.0,Awesome prof,2,awesome prof,[],0,{}
Mario Martelli ,Mathematics department,4.5,4.0,"Professor Martelli is absolutely awesome!! Although at times I sat in class confused about the topic, he is willing to help you until you understand during his office hours. As long as you go in for help when you need it, it is very possible to get an A in his class.",52,professor martelli be absolutely awesome although at time I sit in class confuse about the topic he be willing to help you until you understand during his office hour as long as you go in for help when you need it it be very possible to get an a in his class,"['explanation_clarity', 'doubt_solving', 'faculty_availability']",3,"{'explanation_clarity': ('positive', 0.5423), 'doubt_solving': ('positive', 0.5423), 'faculty_availability': ('positive', 0.5423)}"
Mario Martelli ,Mathematics department,5.0,4.0,Most enjoyable class at CMC.,5,most enjoyable class at cmc,[],0,{}
Mario Martelli ,Mathematics department,4.5,4.0,"I love Martelli.  He sometimes goes off on tangents in class and laughs uncontrolably at the weirdest things, but he is just too cute.  He puts nothing in front of his students and will spend as much time as you need outside of class to help you.  I would take him again in a heartbeat if i had to take more math",62,I love martelli he sometimes go off on tangent in class and laugh uncontrolably at the weird thing but he be just too cute he put nothing in front of his student and will spend as much time as you need outside of class to help you I would take he again in a heartbeat if I have to take more math,"['doubt_solving', 'practical_sessions']",2,"{'practical_sessions': ('positive', 0.7964), 'doubt_solving': ('positive', 0.6908)}"
Mario Martelli ,Mathematics department,5.0,4.0,"Funny, outgoing professor.  Makes class enjoyable.",6,funny outgoing professor make class enjoyable,[],0,{}
Mario Martelli ,Mathematics department,4.5,3.0,"The class can be tough at times, but if you ask questions in class or visit him during his office hours he does his best to help you understand.  Plus he is just so cute and funny he makes you forget you flunked the last quiz...",46,the class can be tough at time but if you ask question in class or visit he during his office hour he do his good to help you understand plus he be just so cute and funny he make you forget you flunk the last quiz,"['doubt_solving', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",4,"{'subject_difficulty': ('negative', -0.128), 'doubt_solving': ('positive', 0.8566), 'practical_sessions': ('positive', 0.8566), 'faculty_availability': ('positive', 0.8566)}"
Mario Martelli ,Mathematics department,4.5,4.0,pretty good teacher...great personality and attitude..a little hard to understand at times because of his accent...good and fair teacher.,19,pretty good teachergreat personality and attitudea little hard to understand at time because of his accentgood and fair teacher,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.807)}"
Mario Martelli ,Mathematics department,5.0,3.0,"Tough, but interesting class.  I have only had 8 profs at CMC, but he is the best.",17,tough but interesting class I have only have prof at cmc but he be the good,['subject_difficulty'],1,"{'subject_difficulty': ('negative', -0.128)}"
Mario Martelli ,Mathematics department,4.0,4.0,"Made a math class fun.  That is not an easy task.
 Very helpful when you dont understand.",17,make a math class fun that be not an easy task very helpful when you do not understand,"['doubt_solving', 'subject_difficulty']",2,"{'doubt_solving': ('positive', 0.6107), 'subject_difficulty': ('positive', 0.6107)}"
Mario Martelli ,Mathematics department,2.5,5.0,hes a real nice guy...just doesnt teach too well,9,he s a real nice guyjust do not teach too well,[],0,{}
Mario Martelli ,Mathematics department,5.0,3.0,Interesting and fun class.,4,interesting and fun class,[],0,{}
Mario Martelli ,Mathematics department,1.5,5.0,Tough****.  Hard to understand him.  Explains concepts as if you're on his level.  He's too smart.,16,tough hard to understand he explain concept as if you re on his level he s too smart,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('positive', 0.2023), 'subject_difficulty': ('positive', 0.2023)}"
Mario Martelli ,Mathematics department,4.5,5.0,Math is a difficult subject and I would prefer not to take any.  He tries to make us understand why higher math is important.  I don't agree with him on that.   He is full of energy and tries to make math tolerable.  I must admit that he makes sense out of Calculus.  He is always willing to help.,58,math be a difficult subject and I would prefer not to take any he try to make we understand why high math be important I do not agree with he on that he be full of energy and try to make math tolerable I must admit that he make sense out of calculus he be always willing to help,"['doubt_solving', 'subject_difficulty']",2,"{'doubt_solving': ('positive', 0.4195), 'subject_difficulty': ('positive', 0.4195)}"
Mario Martelli ,Mathematics department,4.5,3.0,"Tells jokes and makes you think.  Love his accent--he is from Italy.  He makes math fun, even though I am not good at it.",24,tell joke and make you think love his accenthe be from italy he make math fun even though I be not good at it,[],0,{}
Mario Martelli ,Mathematics department,5.0,5.0,Fun class,2,fun class,[],0,{}
Mario Martelli ,Mathematics department,3.5,5.0,"If you're good at math, take him.  If not, at least sit in on a lecture.  Watching him teach is the funniest thing in the world, and he laughs for no reason at random intervals.  Super Mario + Santa Claus = Mario Martelli.",43,if you re good at math take he if not at least sit in on a lecture watch he teach be the funniest thing in the world and he laugh for no reason at random interval super mario santa claus mario martelli,['explanation_clarity'],1,"{'explanation_clarity': ('positive', 0.9153)}"
Mario Martelli ,Mathematics department,2.0,5.0,"I've never had any problems in math so I figured I might do well in a math course. Well...I figured wrong. I've never been so confused in my life, and even when I understand it he throws the hardest problem possible on his exams, but he's a nice guy.",49,I ve never have any problem in math so I figure I might do well in a math course welli figure wrong I ve never be so confused in my life and even when I understand it he throw the hard problem possible on his exam but he s a nice guy,"['explanation_clarity', 'practical_sessions', 'subject_difficulty']",3,"{'explanation_clarity': ('negative', -0.7035), 'practical_sessions': ('negative', -0.7035), 'subject_difficulty': ('negative', -0.7035)}"
